num,authors,title,year,doi,status,source,file_path,pdf_url
1,,Differences in white matter structural networks in family risk of major depressive disorder and suic,2025,10.1016/j.jad.2025.120386,failed,,,
2,,Resting-State fMRI Analysis Using Quantum Time-Series Transformer. (2025). arXiv: 2509.00711,2025,,pdf_downloaded,arXiv,/home/juke/jiook_cha_papers_download/out_1/papers/002_Unknown_2025.pdf,https://arxiv.org/pdf/2509.00711.pdf
3,,DIVER-0 : A Fully Channel Equivariant EEG Foundation Model. (2025). arXiv: 2507.14141,2025,,pdf_downloaded,arXiv,/home/juke/jiook_cha_papers_download/out_1/papers/003_Unknown_2025.pdf,https://arxiv.org/pdf/2507.14141.pdf
4,,Spatiotemporal Learning of Brain Dynamics from fMRI Using Frequency-Specific Multi-Band Attention fo,2025,,pdf_downloaded,arXiv,/home/juke/jiook_cha_papers_download/out_1/papers/004_Unknown_2025.pdf,https://arxiv.org/pdf/2503.23394.pdf
5,,"Individual Differences in Effects of Stressful Life Events on Childhood ADHD: Genetic, Neural, and F",2025,10.1101/2025.03.18.25324229,abstract_saved,,/home/juke/jiook_cha_papers_download/out_1/abstracts/005_Unknown_2025.txt,
6,,Addressing the Current Challenges of Quantum Machine Learning through Multi-Chip Ensembles. (2025). ,2025,,pdf_downloaded,arXiv,/home/juke/jiook_cha_papers_download/out_1/papers/006_Unknown_2025.pdf,https://arxiv.org/pdf/2505.08782.pdf
7,,"It's-A-Me, Quantum Mario: Scalable Quantum Reinforcement Learning with Multi-Chip Ensembles. (2025)",2025,10.1109/QAI63978.2025.00063,abstract_saved,,/home/juke/jiook_cha_papers_download/out_1/abstracts/007_Unknown_2025.txt,
8,,SEED: Towards More Accurate Semantic Evaluation for Visual Brain Decoding. (2025). arXiv: 2503.06437,2025,,pdf_downloaded,arXiv,/home/juke/jiook_cha_papers_download/out_1/papers/008_Unknown_2025.pdf,https://arxiv.org/pdf/2503.06437.pdf
9,,Revisiting Your Memory: Reconstruction of Affect-Contextualized Memory via EEG-guided Audiovisual Ge,2024,10.1145/3746277.3760413,abstract_saved,,/home/juke/jiook_cha_papers_download/out_1/abstracts/009_Unknown_2024.txt,
10,,Macro2Micro: Cross-modal Magnetic Resonance Imaging Synthesis Leveraging Multi-scale Brain Structure,2024,10.48550/arXiv.2412.11277,failed,,,
11,,"Polygenic architecture of brain structure and function, behaviors, and psychopathologies in children",2024,10.1101/2024.05.22.595444,abstract_saved,,/home/juke/jiook_cha_papers_download/out_1/abstracts/011_Unknown_2024.txt,
12,,Gene–environment pathways to cognitive intelligence and psychotic-like experiences in children. (202,2024,10.7554/eLife.88117,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_1/papers/012_Unknown_2024.pdf,https://github.com/elifesciences/enhanced-preprints-data/raw/master/data/88117/v3/88117-v3.pdf
13,,White matter diffusion estimates in obsessive-compulsive disorder across 1653 individuals: machine l,2024,10.1038/s41380-023-02392-6,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_1/papers/013_Unknown_2024.pdf,https://www.nature.com/articles/s41380-023-02392-6.pdf
14,,Over the Quantum Rainbow: Explaining Hybrid Quantum Reinforcement Learning. (2024),2024,10.1109/QCE60285.2024.00185,abstract_saved,,/home/juke/jiook_cha_papers_download/out_1/abstracts/014_Unknown_2024.txt,
15,,Polygenic scores for psychiatric traits mediate the impact of multigenerational history for depressi,2024,10.21203/rs.3.rs-4264742/v1,abstract_saved,,/home/juke/jiook_cha_papers_download/out_1/abstracts/015_Unknown_2024.txt,
16,,Awe is characterized as an ambivalent experience in the human behavior and cortex: integrated virtua,2024,10.1101/2024.08.18.608520,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_2/papers/016_Unknown_2024.pdf,https://www.biorxiv.org/content/biorxiv/early/2024/08/19/2024.08.18.608520.full.pdf
17,,Subcortical volumes in offspring with a multigenerational family history of depression - A study acr,2024,10.1016/j.jad.2024.07.107,failed,,,
18,,Quantum Privacy Aggregation of Teacher Ensembles (QPATE) for Privacy Preserving Quantum Machine Lear,2024,,pdf_downloaded,arXiv,/home/juke/jiook_cha_papers_download/out_2/papers/018_Unknown_2024.pdf,https://arxiv.org/pdf/2401.07464.pdf
19,,Predicting task-related brain activity from resting-state brain dynamics with fMRI Transformer. (202,2024,10.1101/2024.05.29.596544,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_2/papers/019_Unknown_2024.pdf,https://www.biorxiv.org/content/biorxiv/early/2024/05/30/2024.05.29.596544.full.pdf
20,,Differences in White Matter Structural Networks in Family Risk of Major Depressive Disorder and Suic,2023,10.1101/2023.09.07.23295211,abstract_saved,,/home/juke/jiook_cha_papers_download/out_2/abstracts/020_Unknown_2023.txt,
21,,AesFA: An Aesthetic Feature-Aware Arbitrary Neural Style Transfer. (2023). arXiv: 2312.05928,2023,,pdf_downloaded,arXiv,/home/juke/jiook_cha_papers_download/out_2/papers/021_Unknown_2023.pdf,https://arxiv.org/pdf/2312.05928.pdf
22,,Early life stress modulates the genetic influence on brain structure and cognitive function in child,2023,10.1016/j.heliyon.2023.e23345,abstract_saved,,/home/juke/jiook_cha_papers_download/out_2/abstracts/022_Unknown_2023.txt,
23,,Resting-state theta-phase gamma amplitude coupling as a biomarker for the transdiagnostic dimensiona,2023,10.1111/pcn.13554,abstract_saved,,/home/juke/jiook_cha_papers_download/out_2/abstracts/023_Unknown_2023.txt,
24,,Dentate Gyrus Microstructure is associated with Resilience after Exposure to Maternal Stress Across ,2023,10.1016/j.biopsych.2023.06.026,abstract_saved,,/home/juke/jiook_cha_papers_download/out_2/abstracts/024_Unknown_2023.txt,
25,,SwiFT: Swin 4D fMRI Transformer. (2023). arXiv: 2307.05916,2023,,pdf_downloaded,arXiv,/home/juke/jiook_cha_papers_download/out_2/papers/025_Unknown_2023.pdf,https://arxiv.org/pdf/2307.05916.pdf
26,,Overestimated prediction using polygenic prediction derived from summary statistics. (2023),2023,10.1186/s12863-023-01151-4,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_2/papers/026_Unknown_2023.pdf,https://bmcgenomdata.biomedcentral.com/counter/pdf/10.1186/s12863-023-01151-4
27,,Therapeutic Effect of Repetitive Transcranial Magnetic Stimulation for Post-stroke Vascular Cognitiv,2022,10.3389/fneur.2022.813597,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_2/papers/027_Unknown_2022.pdf,https://www.frontiersin.org/articles/10.3389/fneur.2022.813597/pdf
28,,Overestimated Polygenic Prediction due to Overlapping Subjects in Genetic Datasets. (2022),2022,10.1101/2022.01.19.476997,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_2/papers/028_Unknown_2022.pdf,https://authors.library.caltech.edu/records/6vwp0-cjx38/files/2022.01.19.476997v1.full.pdf?download=1
29,,Maternal age at birth and child attention-deficit hyperactivity disorder: causal association or fami,2022,10.1111/jcpp.13726,abstract_saved,,/home/juke/jiook_cha_papers_download/out_2/abstracts/029_Unknown_2022.txt,
30,,Cognitive Capacity Genome-Wide Polygenic Scores Identify Individuals with Slower Cognitive Decline i,2022,10.3390/genes13081320,abstract_saved,,/home/juke/jiook_cha_papers_download/out_2/abstracts/030_Unknown_2022.txt,
31,BROAD DEPRESSION POLYGENIC RISK SCORE PREDICTS DENTATE GYRUS,(2022),2022,10.1016/j.euroneuro.2022.07.471,failed,,,
